ID;name;region;material;pricePerUnit;currency_code;leadTime;rating;category;contactEmail;contactPhone;address;isActive
9398;George-Moore;MEA;Glass Panels;12423.16;USD;25;3.95;construction;contact@georgemoore.com;+1-555-000-0000;MEA Office;true
9399;Yang-Thomas;MEA;Concrete Mixers;5123.86;USD;34;3.75;construction;contact@yangthomas.com;+1-555-000-0000;MEA Office;true
9400;Young, Kennedy and Davis;LATAM;Steel Rebars;11304.98;USD;9;4.65;construction;contact@youngkennedyanddavis.com;+1-555-000-0000;LATAM Office;true
9401;Davis, Robinson and Cisneros;LATAM;Cement Bags;14190.5;USD;38;3.95;construction;contact@davisrobinsonandcisneros.com;+1-555-000-0000;LATAM Office;true
9402;Williams-Davis;LATAM;Glass Panels;3041.77;USD;24;3.75;construction;contact@williamsdavis.com;+1-555-000-0000;LATAM Office;true
9403;Hernandez-Murray;LATAM;Concrete Mixers;12226.52;USD;32;4.15;construction;contact@hernandezmurray.com;+1-555-000-0000;LATAM Office;true
9404;Moreno, Barr and Bowers;LATAM;Steel Rebars;4951.12;USD;25;4.65;construction;contact@morenobarrandbowers.com;+1-555-000-0000;LATAM Office;true
9405;Welch-Smith;MEA;Steel Rebars;3999.4;USD;29;3.95;construction;contact@welchsmith.com;+1-555-000-0000;MEA Office;true
9406;Thomas-Cruz;APAC;Glass Panels;7852.38;USD;9;3.75;construction;contact@thomascruz.com;+1-555-000-0000;APAC Office;true
9407;Mayer, Arnold and Thompson;EU;Steel Rebars;5194.52;USD;25;2.65;construction;contact@mayerarnoldandthompson.com;+1-555-000-0000;EU Office;true
9408;Porter, Turner and Martin;MEA;Steel Rebars;4001.39;USD;35;3.65;construction;contact@porterturnerandmartin.com;+1-555-000-0000;MEA Office;true
9409;Jimenez Inc;APAC;Glass Panels;893.49;USD;10;4.05;construction;contact@jimenezinc.com;+1-555-000-0000;APAC Office;true
9410;Johnson, Jackson and James;MEA;Cement Bags;9608.07;USD;33;4.85;construction;contact@johnsonjacksonandjames.com;+1-555-000-0000;MEA Office;true
9411;Harvey Group;NA;Cement Bags;10117.22;USD;34;4.35;construction;contact@harveygroup.com;+1-555-000-0000;NA Office;true
9412;French-Delgado;NA;Glass Panels;4291.45;USD;38;5.05;construction;contact@frenchdelgado.com;+1-555-000-0000;NA Office;true
9413;Raymond Ltd;MEA;Glass Panels;312.83;USD;20;3.15;construction;contact@raymondltd.com;+1-555-000-0000;MEA Office;true
9414;Snyder, Lee and Hansen;MEA;Scaffolding;279.09;USD;26;4.15;construction;contact@snyderleeandhansen.com;+1-555-000-0000;MEA Office;true
9415;Jones, Miller and Conrad;LATAM;Scaffolding;5690.76;USD;36;3.05;construction;contact@jonesmillerandconrad.com;+1-555-000-0000;LATAM Office;true
9416;Potter LLC;EU;Cement Bags;11926.63;USD;26;3.25;construction;contact@potterllc.com;+1-555-000-0000;EU Office;true
9417;Alexander, Maldonado and Gates;MEA;Concrete Mixers;9579.04;USD;37;2.85;construction;contact@alexandermaldonadoandgates.com;+1-555-000-0000;MEA Office;true
9418;Young LLC;APAC;Glass Panels;6676.41;USD;21;3.75;construction;contact@youngllc.com;+1-555-000-0000;APAC Office;true
9419;Edwards and Sons;EU;Concrete Mixers;1161.17;USD;18;3.05;construction;contact@edwardsandsons.com;+1-555-000-0000;EU Office;true
9420;Barton LLC;NA;Cement Bags;6704.68;USD;39;3.45;construction;contact@bartonllc.com;+1-555-000-0000;NA Office;true
9421;Patterson-Goodwin;NA;Cement Bags;7372.18;USD;15;4.15;construction;contact@pattersongoodwin.com;+1-555-000-0000;NA Office;true
9422;Robinson, Huff and Rodriguez;APAC;Concrete Mixers;896.87;USD;33;4.55;construction;contact@robinsonhuffandrodriguez.com;+1-555-000-0000;APAC Office;true
9423;Miles PLC;EU;Scaffolding;10668.1;USD;16;2.65;construction;contact@milesplc.com;+1-555-000-0000;EU Office;true
9424;Fernandez, Torres and Coleman;MEA;Cement Bags;1588.82;USD;18;3.05;construction;contact@fernandeztorresandcoleman.com;+1-555-000-0000;MEA Office;true
9425;Small, Hunt and Lowe;APAC;Glass Panels;14785.18;USD;22;3.65;construction;contact@smallhuntandlowe.com;+1-555-000-0000;APAC Office;true
9426;Owens-Yates;LATAM;Steel Rebars;1563.83;USD;25;4.25;construction;contact@owensyates.com;+1-555-000-0000;LATAM Office;true
9427;Brewer Ltd;EU;Steel Rebars;11975.69;USD;37;4.35;construction;contact@brewerltd.com;+1-555-000-0000;EU Office;true
9428;Butler-Boyd;APAC;Glass Panels;4278.81;USD;33;4.55;construction;contact@butlerboyd.com;+1-555-000-0000;APAC Office;true
9429;Williamson PLC;EU;Cement Bags;5369.99;USD;31;4.95;construction;contact@williamsonplc.com;+1-555-000-0000;EU Office;true
9430;Romero, English and Miller;EU;Glass Panels;8940.7;USD;21;4.55;construction;contact@romeroenglishandmiller.com;+1-555-000-0000;EU Office;true
9431;Mitchell-Mayer;LATAM;Concrete Mixers;9365.92;USD;17;3.85;construction;contact@mitchellmayer.com;+1-555-000-0000;LATAM Office;true
9432;Parker-Griffith;LATAM;Glass Panels;11536.31;USD;24;3.65;construction;contact@parkergriffith.com;+1-555-000-0000;LATAM Office;true
9433;Phillips PLC;LATAM;Steel Rebars;1294.29;USD;17;3.05;construction;contact@phillipsplc.com;+1-555-000-0000;LATAM Office;true
9434;Blackwell, Henry and Jordan;APAC;Glass Panels;7955.76;USD;18;2.65;construction;contact@blackwellhenryandjordan.com;+1-555-000-0000;APAC Office;true
9435;Potter-Daniel;MEA;Cement Bags;1909.6;USD;17;3.05;construction;contact@potterdaniel.com;+1-555-000-0000;MEA Office;true
9436;Mclaughlin, Nelson and Conley;MEA;Concrete Mixers;4598.57;USD;28;3.85;construction;contact@mclaughlinnelsonandconley.com;+1-555-000-0000;MEA Office;true
9437;Moore-Herrera;MEA;Scaffolding;7781.46;USD;23;4.85;construction;contact@mooreherrera.com;+1-555-000-0000;MEA Office;true
9438;Perez, Mckee and Mendez;LATAM;Concrete Mixers;7271.39;USD;28;4.65;construction;contact@perezmckeeandmendez.com;+1-555-000-0000;LATAM Office;true
9439;Johnson Inc;MEA;Glass Panels;346.29;USD;15;4.25;construction;contact@johnsoninc.com;+1-555-000-0000;MEA Office;true
9440;Gilbert-Matthews;MEA;Cement Bags;6299.45;USD;14;4.25;construction;contact@gilbertmatthews.com;+1-555-000-0000;MEA Office;true
9441;Daniel-Goodwin;APAC;Concrete Mixers;3298.27;USD;14;4.45;construction;contact@danielgoodwin.com;+1-555-000-0000;APAC Office;true
9442;Browning-Fernandez;APAC;Concrete Mixers;10656.65;USD;18;4.55;construction;contact@browningfernandez.com;+1-555-000-0000;APAC Office;true
9443;Phillips Ltd;APAC;Steel Rebars;252.12;USD;16;3.65;construction;contact@phillipsltd.com;+1-555-000-0000;APAC Office;true
9444;Pacheco-Farrell;NA;Glass Panels;10955.71;USD;6;3.55;construction;contact@pachecofarrell.com;+1-555-000-0000;NA Office;true
9445;Hill and Sons;APAC;Concrete Mixers;3073.74;USD;33;4.15;construction;contact@hillandsons.com;+1-555-000-0000;APAC Office;true
9446;Patrick-Larson;MEA;Cement Bags;10463.24;USD;34;3.05;construction;contact@patricklarson.com;+1-555-000-0000;MEA Office;true
9447;Davis, Carter and Wheeler;EU;Glass Panels;14012.35;USD;40;4.85;construction;contact@daviscarterandwheeler.com;+1-555-000-0000;EU Office;true
9448;Jackson, Colon and Dean;APAC;Concrete Mixers;10841.27;USD;21;3.05;construction;contact@jacksoncolonanddean.com;+1-555-000-0000;APAC Office;true
9449;Stewart LLC;NA;Glass Panels;4385.06;USD;11;4.85;construction;contact@stewartllc.com;+1-555-000-0000;NA Office;true
9450;Clark, Maxwell and Bradley;APAC;Concrete Mixers;1971.4;USD;27;3.15;construction;contact@clarkmaxwellandbradley.com;+1-555-000-0000;APAC Office;true
9451;Murray Inc;LATAM;Concrete Mixers;8600.27;USD;37;4.55;construction;contact@murrayinc.com;+1-555-000-0000;LATAM Office;true
9452;Porter, Carpenter and Swanson;EU;Scaffolding;14672.78;USD;35;4.25;construction;contact@portercarpenterandswanson.com;+1-555-000-0000;EU Office;true
9453;Bentley-Wiley;NA;Glass Panels;4438.57;USD;20;2.95;construction;contact@bentleywiley.com;+1-555-000-0000;NA Office;true
9454;Edwards, Murphy and Smith;LATAM;Concrete Mixers;11614.33;USD;37;4.85;construction;contact@edwardsmurphyandsmith.com;+1-555-000-0000;LATAM Office;true
9455;Flores and Sons;NA;Cement Bags;13344.55;USD;27;4.25;construction;contact@floresandsons.com;+1-555-000-0000;NA Office;true
9456;Burton-Jones;NA;Steel Rebars;1380.74;USD;19;2.85;construction;contact@burtonjones.com;+1-555-000-0000;NA Office;true
9457;Hamilton, Walker and Patterson;NA;Concrete Mixers;5774.72;USD;24;3.45;construction;contact@hamiltonwalkerandpatterson.com;+1-555-000-0000;NA Office;true
9458;Dunlap LLC;LATAM;Concrete Mixers;640.26;USD;17;4.75;construction;contact@dunlapllc.com;+1-555-000-0000;LATAM Office;true
9459;Kirk-Valencia;LATAM;Concrete Mixers;674.82;USD;31;2.65;construction;contact@kirkvalencia.com;+1-555-000-0000;LATAM Office;true
9460;Miller, Dennis and Franklin;EU;Cement Bags;223.75;USD;11;3.75;construction;contact@millerdennisandfranklin.com;+1-555-000-0000;EU Office;true
9461;Nunez, Simmons and Lam;NA;Scaffolding;7892.26;USD;36;4.25;construction;contact@nunezsimmonsandlam.com;+1-555-000-0000;NA Office;true
9462;Farmer-Evans;LATAM;Scaffolding;2776.54;USD;13;3.85;construction;contact@farmerevans.com;+1-555-000-0000;LATAM Office;true
9463;Reid-Crawford;LATAM;Cement Bags;14953.04;USD;23;4.75;construction;contact@reidcrawford.com;+1-555-000-0000;LATAM Office;true
9464;Armstrong PLC;EU;Glass Panels;7693.17;USD;35;2.75;construction;contact@armstrongplc.com;+1-555-000-0000;EU Office;true
9465;Hatfield, Hernandez and Hamilton;APAC;Cement Bags;7781.44;USD;8;4.15;construction;contact@hatfieldhernandezandhamilton.com;+1-555-000-0000;APAC Office;true
9466;Williams-Lambert;MEA;Concrete Mixers;2325.79;USD;40;3.65;construction;contact@williamslambert.com;+1-555-000-0000;MEA Office;true
9467;Wade and Sons;LATAM;Cement Bags;5421.14;USD;34;2.65;construction;contact@wadeandsons.com;+1-555-000-0000;LATAM Office;true
9468;Thomas, Williams and Lee;MEA;Glass Panels;5829.72;USD;12;2.75;construction;contact@thomaswilliamsandlee.com;+1-555-000-0000;MEA Office;true
9469;Johnson, Brown and Wheeler;MEA;Concrete Mixers;2244.25;USD;24;4.05;construction;contact@johnsonbrownandwheeler.com;+1-555-000-0000;MEA Office;true
9470;Maldonado-Barrera;EU;Cement Bags;4979.94;USD;36;2.85;construction;contact@maldonadobarrera.com;+1-555-000-0000;EU Office;true
9471;Myers, Johnson and Bush;EU;Steel Rebars;5134.95;USD;37;2.95;construction;contact@myersjohnsonandbush.com;+1-555-000-0000;EU Office;true
9472;Wilson, Johnson and Taylor;MEA;Scaffolding;9336.99;USD;22;4.15;construction;contact@wilsonjohnsonandtaylor.com;+1-555-000-0000;MEA Office;true
9473;Taylor, Holloway and Best;LATAM;Steel Rebars;5313.82;USD;16;3.35;construction;contact@taylorhollowayandbest.com;+1-555-000-0000;LATAM Office;true
9474;Perez and Sons;EU;Scaffolding;9028.15;USD;18;3.85;construction;contact@perezandsons.com;+1-555-000-0000;EU Office;true
9475;Mills LLC;LATAM;Glass Panels;10840.49;USD;34;3.85;construction;contact@millsllc.com;+1-555-000-0000;LATAM Office;true
9476;Carter-Davis;NA;Scaffolding;8825.91;USD;8;4.05;construction;contact@carterdavis.com;+1-555-000-0000;NA Office;true
9477;Owens, Garcia and Moore;LATAM;Cement Bags;9987.85;USD;30;2.85;construction;contact@owensgarciaandmoore.com;+1-555-000-0000;LATAM Office;true
9478;Murphy LLC;NA;Cement Bags;9975.32;USD;12;3.35;construction;contact@murphyllc.com;+1-555-000-0000;NA Office;true
9479;Gentry LLC;MEA;Concrete Mixers;9858.94;USD;20;4.05;construction;contact@gentryllc.com;+1-555-000-0000;MEA Office;true
9480;Beck, Harrison and Hill;APAC;Scaffolding;10717.03;USD;20;3.45;construction;contact@beckharrisonandhill.com;+1-555-000-0000;APAC Office;true
9481;Atkins Inc;MEA;Scaffolding;2804.28;USD;35;3.35;construction;contact@atkinsinc.com;+1-555-000-0000;MEA Office;true
9482;Glover-Johnson;MEA;Cement Bags;2562.23;USD;21;3.35;construction;contact@gloverjohnson.com;+1-555-000-0000;MEA Office;true
9483;Ramos-Holloway;LATAM;Scaffolding;5552.27;USD;29;3.95;construction;contact@ramosholloway.com;+1-555-000-0000;LATAM Office;true
9484;Gilmore, Wagner and Glenn;LATAM;Cement Bags;1655.41;USD;7;4.55;construction;contact@gilmorewagnerandglenn.com;+1-555-000-0000;LATAM Office;true
9485;Robles-Meyer;MEA;Steel Rebars;13439.48;USD;29;3.85;construction;contact@roblesmeyer.com;+1-555-000-0000;MEA Office;true
9486;Williams PLC;LATAM;Scaffolding;8785.25;USD;12;3.15;construction;contact@williamsplc.com;+1-555-000-0000;LATAM Office;true
9487;Wagner, Bullock and Ford;LATAM;Scaffolding;14487.78;USD;5;3.65;construction;contact@wagnerbullockandford.com;+1-555-000-0000;LATAM Office;true
9488;Gordon-Chan;LATAM;Glass Panels;13360.4;USD;11;4.45;construction;contact@gordonchan.com;+1-555-000-0000;LATAM Office;true
9489;Robinson-King;NA;Scaffolding;11270.84;USD;18;3.25;construction;contact@robinsonking.com;+1-555-000-0000;NA Office;true
9490;Curtis PLC;EU;Glass Panels;10190.97;USD;30;3.35;construction;contact@curtisplc.com;+1-555-000-0000;EU Office;true
9491;Sanford-Thompson;EU;Concrete Mixers;466.23;USD;36;2.75;construction;contact@sanfordthompson.com;+1-555-000-0000;EU Office;true
9492;Duffy, Whitaker and Williams;EU;Scaffolding;638.62;USD;11;3.55;construction;contact@duffywhitakerandwilliams.com;+1-555-000-0000;EU Office;true
9493;Hill and Sons;LATAM;Glass Panels;5412.34;USD;26;2.75;construction;contact@hillandsons.com;+1-555-000-0000;LATAM Office;true
9494;Hunt Ltd;MEA;Glass Panels;10484.14;USD;40;3.75;construction;contact@huntltd.com;+1-555-000-0000;MEA Office;true
9495;Brown-Chavez;MEA;Cement Bags;10725.7;USD;6;4.25;construction;contact@brownchavez.com;+1-555-000-0000;MEA Office;true
9496;Graham Ltd;NA;Cement Bags;10579.23;USD;38;3.85;construction;contact@grahamltd.com;+1-555-000-0000;NA Office;true
9497;Kane, Johnson and Mitchell;EU;Glass Panels;14528.96;USD;11;3.65;construction;contact@kanejohnsonandmitchell.com;+1-555-000-0000;EU Office;true
9498;Thompson-Levy;LATAM;Scaffolding;11593.84;USD;17;2.75;construction;contact@thompsonlevy.com;+1-555-000-0000;LATAM Office;true
9499;Francis PLC;EU;Cement Bags;9947.23;USD;8;3.95;construction;contact@francisplc.com;+1-555-000-0000;EU Office;true
9500;Jordan and Sons;MEA;Glass Panels;3197.36;USD;33;3.05;construction;contact@jordanandsons.com;+1-555-000-0000;MEA Office;true
9501;Rosales LLC;LATAM;Glass Panels;13831;USD;28;2.55;construction;contact@rosalesllc.com;+1-555-000-0000;LATAM Office;true
9502;Barnett, Flores and Cannon;EU;Concrete Mixers;4087.84;USD;36;2.95;construction;contact@barnettfloresandcannon.com;+1-555-000-0000;EU Office;true
9503;Miller-Johnson;LATAM;Cement Bags;12942.04;USD;16;3.15;construction;contact@millerjohnson.com;+1-555-000-0000;LATAM Office;true
9504;Calhoun, Smith and Boyd;APAC;Scaffolding;6418.18;USD;7;2.65;construction;contact@calhounsmithandboyd.com;+1-555-000-0000;APAC Office;true
9505;Dunlap, Moore and Fletcher;EU;Scaffolding;10980.81;USD;13;4.45;construction;contact@dunlapmooreandfletcher.com;+1-555-000-0000;EU Office;true
9506;Gutierrez LLC;NA;Glass Panels;641.9;USD;13;4.05;construction;contact@gutierrezllc.com;+1-555-000-0000;NA Office;true
9507;Johnson-Church;EU;Steel Rebars;14246.25;USD;16;3.15;construction;contact@johnsonchurch.com;+1-555-000-0000;EU Office;true
9508;Ball Group;APAC;Scaffolding;12971.94;USD;21;4.95;construction;contact@ballgroup.com;+1-555-000-0000;APAC Office;true
9509;Garcia-Petty;MEA;Cement Bags;10699.6;USD;8;4.35;construction;contact@garciapetty.com;+1-555-000-0000;MEA Office;true
9510;Murphy, Perry and Walker;MEA;Scaffolding;10191.81;USD;17;4.55;construction;contact@murphyperryandwalker.com;+1-555-000-0000;MEA Office;true
9511;Hall Group;LATAM;Concrete Mixers;8428.07;USD;19;3.85;construction;contact@hallgroup.com;+1-555-000-0000;LATAM Office;true
9512;Rodriguez, Gill and Johnson;MEA;Scaffolding;6452.69;USD;19;3.25;construction;contact@rodriguezgillandjohnson.com;+1-555-000-0000;MEA Office;true
9513;Bell-Price;EU;Scaffolding;14533.44;USD;37;4.05;construction;contact@bellprice.com;+1-555-000-0000;EU Office;true
9514;Blair PLC;NA;Concrete Mixers;14463.08;USD;31;4.65;construction;contact@blairplc.com;+1-555-000-0000;NA Office;true
9515;Gonzalez, Noble and Wade;LATAM;Cement Bags;4780.91;USD;16;3.65;construction;contact@gonzaleznobleandwade.com;+1-555-000-0000;LATAM Office;true
9516;Harris-Mejia;EU;Steel Rebars;12449.49;USD;30;4.05;construction;contact@harrismejia.com;+1-555-000-0000;EU Office;true
9517;Lynch and Sons;LATAM;Glass Panels;78.16;USD;9;4.75;construction;contact@lynchandsons.com;+1-555-000-0000;LATAM Office;true
9518;Willis PLC;NA;Glass Panels;6871.58;USD;31;4.05;construction;contact@willisplc.com;+1-555-000-0000;NA Office;true
9519;Little-Leblanc;NA;Glass Panels;1312.41;USD;11;3.45;construction;contact@littleleblanc.com;+1-555-000-0000;NA Office;true
9520;Smith-Young;MEA;Steel Rebars;10657.34;USD;12;4.55;construction;contact@smithyoung.com;+1-555-000-0000;MEA Office;true
9521;Riley, Bennett and Stewart;LATAM;Scaffolding;10982.55;USD;39;4.35;construction;contact@rileybennettandstewart.com;+1-555-000-0000;LATAM Office;true
9522;Williams-Wiggins;MEA;Cement Bags;7948.4;USD;31;5.05;construction;contact@williamswiggins.com;+1-555-000-0000;MEA Office;true
9523;Smith-Crawford;EU;Scaffolding;423.73;USD;39;4.65;construction;contact@smithcrawford.com;+1-555-000-0000;EU Office;true
9524;Martin PLC;MEA;Steel Rebars;6137.13;USD;14;2.65;construction;contact@martinplc.com;+1-555-000-0000;MEA Office;true
9525;Ochoa PLC;APAC;Glass Panels;6803.77;USD;38;2.95;construction;contact@ochoaplc.com;+1-555-000-0000;APAC Office;true
9526;Phillips-Howe;EU;Concrete Mixers;8854.5;USD;26;2.75;construction;contact@phillipshowe.com;+1-555-000-0000;EU Office;true
9527;Bullock LLC;APAC;Glass Panels;10822.95;USD;17;4.45;construction;contact@bullockllc.com;+1-555-000-0000;APAC Office;true
9528;Goodwin, Reynolds and Olson;LATAM;Steel Rebars;10406.62;USD;8;3.15;construction;contact@goodwinreynoldsandolson.com;+1-555-000-0000;LATAM Office;true
9529;Salazar PLC;EU;Glass Panels;1441.24;USD;16;3.65;construction;contact@salazarplc.com;+1-555-000-0000;EU Office;true
9530;Duffy, Marshall and Stewart;MEA;Glass Panels;11214.58;USD;7;3.25;construction;contact@duffymarshallandstewart.com;+1-555-000-0000;MEA Office;true
9531;Ray, Thompson and Bird;LATAM;Cement Bags;3436.23;USD;25;4.05;construction;contact@raythompsonandbird.com;+1-555-000-0000;LATAM Office;true
9532;Hubbard PLC;EU;Steel Rebars;7962.74;USD;7;3.95;construction;contact@hubbardplc.com;+1-555-000-0000;EU Office;true
9533;Ruiz Group;MEA;Glass Panels;4733.24;USD;30;3.55;construction;contact@ruizgroup.com;+1-555-000-0000;MEA Office;true
9534;Thompson-Snyder;NA;Steel Rebars;10628.94;USD;34;3.45;construction;contact@thompsonsnyder.com;+1-555-000-0000;NA Office;true
9535;Daniel, Blevins and Torres;EU;Concrete Mixers;12695.63;USD;24;4.55;construction;contact@danielblevinsandtorres.com;+1-555-000-0000;EU Office;true
9536;Henderson-Peck;MEA;Glass Panels;1442.64;USD;27;3.75;construction;contact@hendersonpeck.com;+1-555-000-0000;MEA Office;true
9537;Colon-Conway;EU;Glass Panels;14865.06;USD;37;3.05;construction;contact@colonconway.com;+1-555-000-0000;EU Office;true
9538;Hernandez, Smith and Alexander;APAC;Scaffolding;12227.8;USD;15;3.75;construction;contact@hernandezsmithandalexander.com;+1-555-000-0000;APAC Office;true
9539;Jackson-Fernandez;MEA;Concrete Mixers;11807.67;USD;15;3.75;construction;contact@jacksonfernandez.com;+1-555-000-0000;MEA Office;true
9540;Meadows Ltd;APAC;Concrete Mixers;7105.55;USD;38;4.85;construction;contact@meadowsltd.com;+1-555-000-0000;APAC Office;true
9541;Moreno Inc;EU;Steel Rebars;7707.65;USD;10;4.55;construction;contact@morenoinc.com;+1-555-000-0000;EU Office;true
9542;Vasquez-Schwartz;EU;Concrete Mixers;13966.79;USD;5;3.15;construction;contact@vasquezschwartz.com;+1-555-000-0000;EU Office;true
9543;Cruz Ltd;EU;Concrete Mixers;3203.64;USD;39;2.75;construction;contact@cruzltd.com;+1-555-000-0000;EU Office;true
9544;Brooks-Lynch;LATAM;Glass Panels;2468.81;USD;21;4.25;construction;contact@brookslynch.com;+1-555-000-0000;LATAM Office;true
9545;Galloway and Sons;MEA;Steel Rebars;2858.55;USD;21;2.65;construction;contact@gallowayandsons.com;+1-555-000-0000;MEA Office;true
9546;Hayes, Stewart and Stevens;NA;Scaffolding;1100.82;USD;24;3.65;construction;contact@hayesstewartandstevens.com;+1-555-000-0000;NA Office;true
9547;Wilson-Cannon;NA;Scaffolding;11966.18;USD;27;3.25;construction;contact@wilsoncannon.com;+1-555-000-0000;NA Office;true
9548;Nelson, Hernandez and Novak;APAC;Cement Bags;11968.4;USD;24;3.75;construction;contact@nelsonhernandezandnovak.com;+1-555-000-0000;APAC Office;true
9549;Martinez, Guerrero and May;MEA;Cement Bags;6397.26;USD;10;4.05;construction;contact@martinezguerreroandmay.com;+1-555-000-0000;MEA Office;true
9550;Malone-Nguyen;LATAM;Cement Bags;3456.85;USD;35;4.65;construction;contact@malonenguyen.com;+1-555-000-0000;LATAM Office;true
9551;Stevens and Sons;LATAM;Cement Bags;9468.34;USD;12;4.75;construction;contact@stevensandsons.com;+1-555-000-0000;LATAM Office;true
9552;Morse Ltd;APAC;Cement Bags;12807.23;USD;15;2.95;construction;contact@morseltd.com;+1-555-000-0000;APAC Office;true
9553;Henderson, Richards and Peterson;APAC;Scaffolding;6777.93;USD;16;4.95;construction;contact@hendersonrichardsandpeterson.com;+1-555-000-0000;APAC Office;true
9554;Burton and Sons;EU;Scaffolding;927.27;USD;12;5.05;construction;contact@burtonandsons.com;+1-555-000-0000;EU Office;true
9555;Woodward-Sparks;MEA;Steel Rebars;658.41;USD;38;3.75;construction;contact@woodwardsparks.com;+1-555-000-0000;MEA Office;true
9556;Cook-Mueller;EU;Scaffolding;5785.58;USD;21;3.45;construction;contact@cookmueller.com;+1-555-000-0000;EU Office;true
9557;Davis, Hampton and Cuevas;MEA;Cement Bags;13615.33;USD;19;4.05;construction;contact@davishamptonandcuevas.com;+1-555-000-0000;MEA Office;true
9558;Reed-Haley;APAC;Steel Rebars;119.33;USD;13;2.85;construction;contact@reedhaley.com;+1-555-000-0000;APAC Office;true
9559;Young-Mills;LATAM;Glass Panels;3613;USD;9;4.25;construction;contact@youngmills.com;+1-555-000-0000;LATAM Office;true
9560;Wilson-Munoz;NA;Concrete Mixers;1572.83;USD;31;3.25;construction;contact@wilsonmunoz.com;+1-555-000-0000;NA Office;true
9561;Mason-Rivera;APAC;Scaffolding;14042.09;USD;29;4.05;construction;contact@masonrivera.com;+1-555-000-0000;APAC Office;true
9562;Hayes, Bell and Wang;APAC;Cement Bags;2675.91;USD;39;2.85;construction;contact@hayesbellandwang.com;+1-555-000-0000;APAC Office;true
9563;Caldwell, Phillips and Neal;NA;Steel Rebars;7710.94;USD;15;3.65;construction;contact@caldwellphillipsandneal.com;+1-555-000-0000;NA Office;true
9564;Jones, Mclaughlin and Meadows;MEA;Scaffolding;7921.02;USD;9;4.75;construction;contact@jonesmclaughlinandmeadows.com;+1-555-000-0000;MEA Office;true
9565;Rojas Group;NA;Glass Panels;4097.55;USD;11;3.35;construction;contact@rojasgroup.com;+1-555-000-0000;NA Office;true
9566;Parrish, Jennings and Gonzales;LATAM;Concrete Mixers;2015.24;USD;35;3.15;construction;contact@parrishjenningsandgonzales.com;+1-555-000-0000;LATAM Office;true
9567;Williams-Mueller;MEA;Cement Bags;4571.65;USD;15;2.65;construction;contact@williamsmueller.com;+1-555-000-0000;MEA Office;true
9568;Mitchell, Taylor and Sanders;LATAM;Cement Bags;12383.34;USD;32;3.55;construction;contact@mitchelltaylorandsanders.com;+1-555-000-0000;LATAM Office;true
9569;Li-Bush;NA;Concrete Mixers;8267.13;USD;13;3.75;construction;contact@libush.com;+1-555-000-0000;NA Office;true
9570;Hill, Robbins and Robertson;APAC;Concrete Mixers;12457.95;USD;35;4.75;construction;contact@hillrobbinsandrobertson.com;+1-555-000-0000;APAC Office;true
9571;Whitaker, Hoffman and Garcia;NA;Scaffolding;11551.78;USD;12;4.45;construction;contact@whitakerhoffmanandgarcia.com;+1-555-000-0000;NA Office;true
9572;Scott, Rogers and Kelley;LATAM;Glass Panels;13868.81;USD;37;3.15;construction;contact@scottrogersandkelley.com;+1-555-000-0000;LATAM Office;true
9573;King, Cox and Johnson;NA;Cement Bags;95.22;USD;35;4.15;construction;contact@kingcoxandjohnson.com;+1-555-000-0000;NA Office;true
9574;Arellano, Peck and Lopez;MEA;Concrete Mixers;10429.19;USD;33;4.75;construction;contact@arellanopeckandlopez.com;+1-555-000-0000;MEA Office;true
9575;Lopez-Pineda;EU;Cement Bags;14922.61;USD;9;2.65;construction;contact@lopezpineda.com;+1-555-000-0000;EU Office;true
9576;Stevens Ltd;EU;Cement Bags;14653.81;USD;30;2.55;construction;contact@stevensltd.com;+1-555-000-0000;EU Office;true
9577;Sanchez, Turner and Hale;APAC;Cement Bags;7496.58;USD;16;3.75;construction;contact@sanchezturnerandhale.com;+1-555-000-0000;APAC Office;true
9578;Rose-Carter;NA;Steel Rebars;1487.18;USD;32;4.55;construction;contact@rosecarter.com;+1-555-000-0000;NA Office;true
9579;Mcdaniel Group;LATAM;Steel Rebars;14849.73;USD;11;5.05;construction;contact@mcdanielgroup.com;+1-555-000-0000;LATAM Office;true
9580;Martin-Carlson;NA;Cement Bags;14355.52;USD;21;3.95;construction;contact@martincarlson.com;+1-555-000-0000;NA Office;true
9581;Jackson-Keith;EU;Glass Panels;1407.18;USD;20;3.55;construction;contact@jacksonkeith.com;+1-555-000-0000;EU Office;true
9582;Hubbard, White and Marquez;APAC;Concrete Mixers;5538.48;USD;28;2.95;construction;contact@hubbardwhiteandmarquez.com;+1-555-000-0000;APAC Office;true
9583;Rodriguez-Harris;NA;Steel Rebars;360.37;USD;33;4.95;construction;contact@rodriguezharris.com;+1-555-000-0000;NA Office;true
9584;Kaufman-Hernandez;MEA;Concrete Mixers;1120.49;USD;22;4.85;construction;contact@kaufmanhernandez.com;+1-555-000-0000;MEA Office;true
9585;Sawyer, Martin and King;EU;Concrete Mixers;10137.31;USD;16;4.35;construction;contact@sawyermartinandking.com;+1-555-000-0000;EU Office;true
9586;Wagner Inc;LATAM;Cement Bags;9980.24;USD;30;4.25;construction;contact@wagnerinc.com;+1-555-000-0000;LATAM Office;true
9587;Zamora, Huerta and Ortiz;LATAM;Steel Rebars;14541.46;USD;8;4.05;construction;contact@zamorahuertaandortiz.com;+1-555-000-0000;LATAM Office;true
